region,lat,long,node_id
LADWP,33.84769999998815,-118.30345421387865,HAL_SUB_LNODEONA
CA,39.746242,-122.01136166,HAMILTON_6_N001
CA,38.02138220754234,-121.32036766,HAMMER_6_N001
CA,38.02130089621381,-121.32030740848893,HAMMER_6_N003
CA,38.02130089621381,-121.32042659151108,HAMMER_6_N004
CA,36.72011,-120.60328766,HAMMONDS_1_N001
CA,33.770089981295506,-118.24989175499216,HARBORG_7_B2
CA,33.769910018610105,-118.24989175521952,HARBORG_7_B3
CA,33.769910018610105,-118.25010824478049,HARBORG_7_B4
CA,33.770089981295506,-118.25010824500785,HARBORG_7_N101
CA,37.963708999986125,-121.29050568468436,HARDING_6_N001
CA,37.963708999986125,-121.29062031531565,HARDING_6_N004
CA,36.404261,-119.6862466,HARDWICK_6_N001
CA,40.78104299998464,-124.13194328500424,HARRIS_6_N001
CA,40.78104299998464,-124.13206271499578,HARRIS_6_N003
CA,39.14325399998575,-121.64800727163947,HARTER_6_N001
CA,39.14325399998575,-121.64812272836066,HARTER_6_N003
CA,39.077268,-122.93232266,HARTLEY_6_N001
LADWP,33.7706,-118.265666,HAR_GS_GNODE1
LADWP,33.77059999995272,-118.26549175369348,HAR_GS_GNODE1
LADWP,33.770510018066084,-118.26549175380715,HAR_GS_GNODE1
LADWP,33.77044639130702,-118.2655682954477,HAR_GS_GNODE1
LADWP,33.770431175173286,-118.26567498264691,HAR_GS_GNODE1
LADWP,33.77046234053704,-118.26577652884532,HAR_GS_GNODE1
LADWP,33.77052796602419,-118.26585058805817,HAR_GS_GNODE2
LADWP,33.77061300670493,-118.26588596508614,HAR_GS_GNODE5
LADWP,33.77070285420546,-118.26588005129787,HAR_GS_LNODE10AUX
LADWP,33.770785160786886,-118.2658363056699,HAR_GS_LNODE11AUX
LADWP,33.77085063868779,-118.26576205737285,HAR_GS_LNODE12AUX
LADWP,33.770893238769126,-118.26566671029164,HAR_GS_LNODE13AUX
LADWP,33.77090995880947,-118.26556034876026,HAR_GS_LNODE14AUX
LADWP,33.770900443776654,-118.26545270896402,HAR_GS_LNODE1AUX
